               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  57,            0.081282,             0.03982,           0.0038978,             0.40118,              0.3204,             0.27634,            0.077072,            0.082107,            0.037301,           0.0096444,            0.007228,            0.007228,            0.007228
                  58,            0.079726,            0.037708,           0.0031837,             0.36071,             0.31873,             0.24603,            0.067017,            0.080447,            0.037203,            0.013958,           0.0071785,           0.0071785,           0.0071785
                  59,            0.079794,             0.03804,           0.0024122,             0.36851,             0.33133,             0.26523,            0.077371,            0.080968,            0.037849,           0.0060312,            0.007129,            0.007129,            0.007129
                  60,            0.079698,            0.038626,           0.0041945,             0.37334,             0.32318,             0.28157,            0.080654,             0.08239,            0.037722,           0.0093367,           0.0070795,           0.0070795,           0.0070795
                  61,            0.079123,            0.037569,           0.0025836,             0.40128,               0.317,             0.29268,            0.090161,            0.082289,            0.036934,           0.0060426,             0.00703,             0.00703,             0.00703
                  62,            0.079112,            0.037825,           0.0020168,             0.37864,             0.33467,              0.2842,            0.083116,            0.081954,            0.036827,            0.014215,           0.0069805,           0.0069805,           0.0069805
                  63,            0.079796,            0.039614,           0.0020323,             0.41497,             0.32225,              0.2885,            0.083987,            0.083558,            0.037315,            0.010413,            0.006931,            0.006931,            0.006931
                  64,            0.079162,            0.036336,           0.0045591,              0.3777,             0.29908,              0.2487,            0.071459,            0.083884,            0.037344,            0.010663,           0.0068815,           0.0068815,           0.0068815
                  65,            0.079126,            0.039558,           0.0039186,             0.41665,             0.33427,             0.28356,            0.078836,             0.08144,            0.038529,           0.0055615,            0.006832,            0.006832,            0.006832
                  66,            0.080386,             0.03903,           0.0043688,             0.36941,             0.33401,             0.26125,            0.076818,            0.082103,            0.039481,           0.0069199,           0.0067825,           0.0067825,           0.0067825
                  67,            0.078698,            0.037908,           0.0028494,             0.39803,              0.3205,             0.28332,            0.085103,            0.082306,            0.037121,           0.0066654,            0.006733,            0.006733,            0.006733
                  68,             0.07897,            0.037492,           0.0016943,             0.39297,             0.34585,             0.28042,            0.081194,            0.079955,            0.037943,           0.0060768,           0.0066835,           0.0066835,           0.0066835
                  69,              0.0764,            0.035985,           0.0015656,             0.41943,              0.3369,             0.30158,            0.089695,            0.081295,            0.038074,           0.0089273,            0.006634,            0.006634,            0.006634
                  70,            0.077436,            0.035456,           0.0015331,             0.41588,             0.31675,             0.29549,            0.087184,            0.081773,            0.038467,           0.0083077,           0.0065845,           0.0065845,           0.0065845
                  71,            0.078728,             0.03756,           0.0036746,             0.46652,             0.32289,             0.30874,            0.087725,            0.081411,            0.037177,            0.011897,            0.006535,            0.006535,            0.006535
                  72,            0.079364,            0.039918,           0.0051698,              0.4197,              0.3257,             0.29177,            0.083118,            0.083896,            0.037369,           0.0076099,           0.0064855,           0.0064855,           0.0064855
